Pepsic|A Peste : Revista de Psicanálise e Sociedade||A Peste, Rev. Psicanál. Soc.|apeste|2175-6104|1775-1851|2175-6104|Universidade de São Paulo e Pontifícia Universidade Católica de São Paulo
 Spain|A||a|psi|2173-4712||2173-4712|Colegio Oficial de Psicólogos de Madrid
Argentina|Revista argentina de cirugía||Rev. argent. cir.|racir|2250-639X||2250-639X|Asociación Argentina de Cirugía|by-nc/4.0
Argentina|Revista argentina de dermatología||Rev. argent. dermatol.|rad|1851-300X||1851-300X|Asociación Argentina de Dermatología|by-nc/4.0
Argentina|Revista argentina de endocrinología y metabolismo||Rev. argent. endocrinol. metab.|raem|1851-3034||1851-3034|Sociedad Argentina de Endocrinología y Metabolismo|by-nc/4.0
Argentina|Revista argentina de microbiología|Rev Argent Microbiol|Rev. argent. microbiol.|ram|0325-7541|0325-7541|1851-7617|Asociación Argentina de Microbiología|by-nc/4.0
Argentina|Revista argentina de neurocirugía||Rev. argent. neurocir.|ranc|1850-1532||1850-1532|Asociación Argentina de Neurocirugía|by-nc/4.0
Argentina|Revista argentina de radiología||Rev. argent. radiol.|rar|1852-9992||1852-9992|Sociedad Argentina de Radiología|by-nc/4.0
Argentina|Revista argentina de sociología||Rev. argent. sociol.|ras|1669-3248||1669-3248|Consejo de Profesionales en Sociología (CPS)|by-nc/4.0
Brazil|Revista Bioética||Rev. Bioét.|bioet|1983-8042|1983-8042|1983-8034|Conselho Federal de Medicina|by-nc/4.0
Bolivia|Revista Boliviana de Física||Revista Boliviana de Física|rbf|1562-3823||1562-3823|Sociedad Boliviana de Física|by-nc-sa/4.0
Bolivia|Revista Boliviana de Química||Rev. Bol. Quim|rbq|0250-5460||0250-5460|Universidad Mayor de San Andrés|by-nc-sa/4.0
Brazil|Revista Brasileira de Anestesiologia|Rev Bras Anestesiol|Rev. Bras. Anestesiol.|rba|0034-7094|0034-7094|1806-907X|Sociedade Brasileira de Anestesiologia|by-nc-nd/4.0
Brazil|Revista Brasileira de Biologia|Rev Bras Biol|Rev. Bras. Biol.|rbbio|0034-7108|0034-7108||Instituto Internacional de Ecologia|by-nc/4.0
Brazil|Revista Brasileira de Cardiologia Invasiva||Rev. Bras. Cardiol. Invasiva|rbci|2179-8397||2179-8397|Sociedade Brasileira de Hemodinâmica e Cardiologia Intervencionista - SBHCI|by-nc-nd/4.0
Brazil|Revista Brasileira de Cineantropometria & Desempenho Humano||Rev. bras. cineantropom. desempenho hum.|rbcdh|1980-0037||1980-0037|Universidade Federal de Santa Catarina|by/4.0
Brazil|Revista Brasileira de Cirurgia Cardiovascular|Rev Bras Cir Cardiovasc|Rev Bras Cir Cardiovasc|rbccv|0102-7638|0102-7638|1678-9741|Sociedade Brasileira de Cirurgia Cardiovascular|by/4.0
Brazil|Revista Brasileira de Cirurgia Plástica||Rev. Bras. Cir. Plást.|rbcp|1983-5175|1983-5175||Sociedade Brasileira de Cirurgia Plástica|by-nc/4.0
Brazil|Revista Brasileira de Ciência Avícola||Rev. Bras. Cienc. Avic.|rbca|1516-635X|1516-635X|1806-9061|Fundação APINCO de Ciência e Tecnologia Avícolas|by/4.0
Brazil|Revista Brasileira de Ciência do Solo||Rev. Bras. Ciênc. Solo|rbcs|0100-0683|0100-0683|1806-9657|Sociedade Brasileira de Ciência do Solo|by/4.0
Brazil|Revista Brasileira de Ciência Política||Rev. Bras. Ciênc. Polít.|rbcpol|0103-3352|0103-3352|2178-4884|Universidade de Brasília. Instituto de Ciência Política|by-nc/4.0
Brazil|Revista Brasileira de Ciências do Esporte||Rev. Bras. Ciênc. Esporte|rbce|0101-3289|0101-3289|2179-3255|Colégio Brasileiro de Ciências do Esporte|by-nc-nd/4.0
Brazil|Revista Brasileira de Ciências Farmacêuticas||Rev. Bras. Cienc. Farm.|rbcf|1516-9332|1516-9332||Divisão de Biblioteca e Documentação do Conjunto das Químicas da Universidade de São Paulo|by-nc/4.0
Brazil|Revista Brasileira de Ciências Sociais||Rev. bras. Ci. Soc.|rbcsoc|0102-6909|0102-6909|1806-9053|Associação Nacional de Pós-Graduação e Pesquisa em Ciências Sociais - ANPOCS|by/4.0
Social Sciences|Revista Brasileira de Ciências Sociais||Rev. bras. ciênc. soc.|s_rbcsoc|0102-6909|0102-6909||Associação Nacional de Pós-Graduação e Pesquisa em Ciências Sociais - ANPOCS|by-nc/4.0
Brazil|Revista Brasileira de Coloproctologia||Rev bras. colo-proctol.|rbc|0101-9880|0101-9880||Cidade Editora Científica Ltda|by-nc/4.0
Pepsic|Revista brasileira de crescimento e desenvolvimento humano||Rev. bras. crescimento desenvolv. hum.|rbcdh|0104-1282|0104-1282||Centro de Estudos de Crescimento e Desenvolvimento do Ser Humano
Brazil|Revista Brasileira de Economia||Rev. Bras. Econ.|rbe|0034-7140|0034-7140|1806-9134|Fundação Getúlio Vargas|by/4.0
Brazil|Revista Brasileira de Educação Especial||Rev. bras. educ. espec.|rbee|1413-6538|1413-6538|1980-5470|Associação Brasileira de Pesquisadores em Educação Especial - ABPEE|by-nc/4.0
Brazil|Revista Brasileira de Educação Física e Esporte||Rev. bras. educ. fís. esporte|rbefe|1807-5509|1807-5509|1981-4690|Escola de Educação Física e Esporte da Universidade de São Paulo|by/4.0
Brazil|Revista Brasileira de Educação Médica||Rev. bras. educ. med.|rbem|0100-5502|0100-5502|1981-5271|Associação Brasileira de Educação Médica|by-nc/4.0
Brazil|Revista Brasileira de Educação||Rev. Bras. Educ.|rbedu|1413-2478|1413-2478|1809-449X|Editora Autores Associados|by/4.0
Brazil|Revista Brasileira de Enfermagem|Rev Bras Enferm|Rev. Bras. Enferm.|reben|0034-7167|0034-7167|1984-0446|Associação Brasileira de Enfermagem|by/4.0
Brazil|Revista Brasileira de Engenharia Agrícola e Ambiental||Rev. bras. eng. agríc. ambient.|rbeaa|1415-4366|1415-4366|1807-1929|Departamento de Engenharia Agrícola  - UFCG|by/4.0
Brazil|Revista Brasileira de Engenharia Biomédica||Rev. Bras. Eng. Bioméd.|rbeb|1517-3151|1517-3151||SBEB - Sociedade Brasileira de Engenharia Biomédica|by-nc/4.0
Brazil|Revista Brasileira de Ensino de Física||Rev. Bras. Ensino Fís.|rbef|1806-1117|1806-1117|1806-9126|Sociedade Brasileira de Física|by/4.0
Brazil|Revista Brasileira de Entomologia||Rev. Bras. entomol.|rbent|0085-5626|0085-5626|1806-9665|Sociedade Brasileira De Entomologia|by-nc-nd/4.0
Brazil|Revista Brasileira de Epidemiologia|Rev Bras Epidemiol|Rev. bras. epidemiol.|rbepid|1415-790X|1415-790X|1980-5497|Associação Brasileira de Saúde Coletiva|by/4.0
Public Health|Revista Brasileira de Epidemiologia||Rev. bras. epidemiol.|rbepid|1415-790X|1415-790X||Associação Brasileira de Pós -Graduação em Saúde Coletiva|by/4.0
Brazil|Revista Brasileira de Estudos de População||Rev. bras. estud. popul.|rbepop|0102-3098|0102-3098||Associação Brasileira de Estudos Populacionais|by/4.0
Brazil|Revista Brasileira de Estudos Pedagógicos||Rev. Bras. Estud. Pedagog.|rbeped|2176-6681||2176-6681|Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira|by-nc/4.0
Brazil|Revista Brasileira de Farmacognosia||Rev. bras. farmacogn.|rbfar|0102-695X|0102-695X|1981-528X|Sociedade Brasileira de Farmacognosia|by-nc-nd/4.0
Brazil|Revista Brasileira de Fisiologia Vegetal||Rev. Bras. Fisiol. Veg.|rbfv|0103-3131|0103-3131||Sociedade Brasileira de Fisiologia Vegetal|by-nc/4.0
Brazil|Revista Brasileira de Fruticultura||Rev. Bras. Frutic.|rbf|0100-2945|0100-2945|1806-9967|Sociedade Brasileira de Fruticultura|by/4.0
Brazil|Revista Brasileira de Geofísica||Rev. Bras. Geof.|rbg|0102-261X|0102-261X||Sociedade Brasileira de Geofísica|by-nc/4.0
Brazil|Revista Brasileira de Geriatria e Gerontologia||Rev. bras. geriatr. gerontol.|rbgg|1809-9823|1809-9823|1981-2256|Universidade do Estado do Rio Janeiro|by/4.0
Brazil|Revista Brasileira de Ginecologia e Obstetrícia||Rev. Bras. Ginecol. Obstet.|rbgo|0100-7203|0100-7203|1806-9339|Federação Brasileira das Sociedades de Ginecologia e Obstetrícia|by/4.0
Brazil|Revista Brasileira de Hematologia e Hemoterapia|Rev Bras Hematol Hemoter|Rev. Bras. Hematol. Hemoter.|rbhh|1516-8484|1516-8484|1806-0870|Associação Brasileira de Hematologia e Hemoterapia e Terapia Celular|by-nc/4.0
Brazil|Revista Brasileira de História||Rev. Bras. Hist.|rbh|0102-0188|0102-0188|1806-9347|Associação Nacional de História - ANPUH|by-nc/4.0
Brazil|Revista Brasileira de Linguística Aplicada||Rev. bras. linguist. apl.|rbla|1984-6398||1984-6398|Faculdade de Letras - Universidade Federal de Minas Gerais|by/4.0
Brazil|Revista Brasileira de Medicina do Esporte||Rev Bras Med Esporte|rbme|1517-8692|1517-8692|1806-9940|Sociedade Brasileira de Medicina do Exercício e do Esporte|by/4.0
Brazil|Revista Brasileira de Meteorologia||Rev. bras. meteorol.|rbmet|0102-7786|0102-7786|1982-4351|Sociedade Brasileira de Meteorologia|by/4.0
Brazil|Revista Brasileira de Oceanografia||Rev. Bras. Oceanogr.|rboce|1413-7739|1413-7739||Instituto Oceanográfico da Universidade de São Paulo|by-nc/4.0
Brazil|Revista Brasileira de Oftalmologia||Rev. bras.oftalmol.|rbof|0034-7280|0034-7280|1982-8551|Sociedade Brasileira de Oftalmologia|by/4.0
Pepsic|Revista Brasileira de Orientação Profissional||Rev. bras. orientac. prof|rbop|1679-3390|1679-3390||Vetor Editora|by-nc/4.0
Brazil|Revista Brasileira de Ortopedia||Rev. bras. ortop.|rbort|0102-3616|0102-3616|1982-4378|Sociedade Brasileira de Ortopedia e Traumatologia|by-nc-nd/4.0
Brazil|Revista Brasileira de Otorrinolaringologia||Rev. Bras. Otorrinolaringol.|rboto|0034-7299|0034-7299||ABORL-CCF Associação Brasileira de Otorrinolaringologia e Cirurgia Cérvico-Facial|by-nc/4.0
Brazil|Revista Brasileira de Parasitologia Veterinária|Rev Bras Parasitol Vet|Rev. Bras. Parasitol. Vet.|rbpv|1984-2961||1984-2961|Colégio Brasileiro de Parasitologia Veterinária|by/4.0
Brazil|Revista Brasileira de Plantas Medicinais||Rev. bras. plantas med.|rbpm|1516-0572|1516-0572|1983-084X|Sociedade Brasileira de Plantas Medicinais|by/4.0
Brazil|Revista Brasileira de Política Internacional||Rev. bras. polít. int.|rbpi|0034-7329|0034-7329|1983-3121|Instituto Brasileiro de Relações Internacionais|by/4.0
Pepsic|Revista Brasileira de Psicanálise||Rev. bras. psicanál|rbp|0486-641X|0486-641X||Federação Brasileira de Psicanálise
Pepsic|Revista Brasileira de Psicodrama||Rev. bras. psicodrama|psicodrama|0104-5393|0104-5393|2318-0498|Federacao Brasileira de Psicodrama
Pepsic|Revista Brasileira de Psicologia do Esporte||Rev. bras. psicol. esporte|rbpe|1981-9145||1981-9145|Associação Brasileira de Psicologia do Esporte
Pepsic|Revista Brasileira de Psicoterapia||Rev. bras. psicoter.|rbpt|1516-8530|1516-8530||Universidade Federal do Rio Grande do Sul. Centro de Estudos Luis Guedes|by-nc/4.0
Brazil|Revista Brasileira de Psiquiatria|Rev Bras Psiquiatr|Rev. Bras. Psiquiatr.|rbp|1516-4446|1516-4446|1809-452X|Associação Brasileira de Psiquiatria - ABP|by-nc/4.0
Brazil|Revista Brasileira de Reumatologia|Rev Bras Reumatol|Rev. Bras. Reumatol.|rbr|0482-5004|0482-5004|1809-4570|Sociedade Brasileira de Reumatologia|by-nc-nd/4.0
Brazil|Revista Brasileira de Saúde e Produção Animal||Rev. bras. saúde prod. anim.|rbspa|1519-9940||1519-9940|UFBA - Universidade Federal da Bahia|by/4.0
Brazil|Revista Brasileira de Saúde Materno Infantil||Rev. Bras. Saude Mater. Infant.|rbsmi|1519-3829|1519-3829|1806-9304|Instituto de Medicina Integral Prof. Fernando Figueira|by/4.0
Brazil|Revista Brasileira de Saúde Ocupacional||Rev. bras. saúde ocup.|rbso|0303-7657|0303-7657|2317-6369|Fundação Jorge Duprat Figueiredo de Segurança e Medicina do Trabalho - FUNDACENTRO|by-nc/4.0
Brazil|Revista Brasileira de Sementes||Rev. bras. sementes|rbs|0101-3122|0101-3122||Associação Brasileira de Tecnologia de Sementes|by-nc/4.0
Pepsic|Revista Brasileira de Terapia Comportamental e Cognitiva||Rev. bras. ter. comport. cogn.|rbtcc|1517-5545|1517-5545||Associação Brasileira de Psicoterapia e Medicina Comportamental
Brazil|Revista Brasileira de Terapia Intensiva|Rev Bras Ter Intensiva|Rev. bras. ter. intensiva|rbti|0103-507X|0103-507X|1982-4335|Associação de Medicina Intensiva Brasileira - AMIB|by/4.0
Pepsic|Revista Brasileira de Terapias Cognitivas||Rev. bras.ter. cogn.|rbtc|1808-5687|1808-5687||Federação Brasileira de Terapias Cognitivas|by-nc/4.0
Brazil|Revista Brasileira de Zoologia||Rev. Bras. Zool.|rbzool|0101-8175|0101-8175||Sociedade Brasileira de Zoologia|by-nc/4.0
Brazil|Revista Brasileira de Zootecnia||R. Bras. Zootec.|rbz|1516-3598|1516-3598|1806-9290|Sociedade Brasileira de Zootecnia|by/4.0
Brazil|Revista CEFAC||Rev. CEFAC|rcefac|1516-1846|1516-1846|1982-0216|CEFAC Saúde e Educação|by/4.0
Cuba|Revista Centro Agrícola||Centro Agrícola|cag|0253-5785||0253-5785|Editorial Feijóo, Universidad Central de Las Villas|by-nc/4.0
Brazil|Revista Ceres||Rev. Ceres|rceres|0034-737X|0034-737X|2177-3491|Universidade Federal de Viçosa|by/4.0
Mexico|Revista Chapingo. Serie ciencias forestales y del ambiente||Rev. Chapingo|rcscfa|0186-3231|0186-3231||Universidad Autónoma Chapingo, Coordinación de Revistas Institucionales|by-nc/3.0
Mexico|Revista Chapingo. Serie horticultura||Rev. Chapingo Ser.Hortic|rcsh|1027-152X|1027-152X|2007-4034|Universidad Autónoma Chapingo|by-nc/3.0
Chile|Revista chilena de anatomía||Rev. chil. anat.|rca|0716-9868|0716-9868||Sociedad Chilena de Anatomía|by-nc/4.0
Chile|Revista chilena de cardiología||Rev Chil Cardiol|rchcardiol|0718-8560||0718-8560|Sociedad Chilena de Cardiología y Cirugía Cardiovascular|by-nc/4.0
Chile|Revista chilena de cirugía||Rev Chil Cir|rchcir|0718-4026||0718-4026|Sociedad de Cirujanos de Chile|by/4.0
Chile|Revista chilena de derecho privado||RChDP|rchdp|0718-8072||0718-8072|Fundación Fernando Fueyo Laneri. Escuela de Derecho. Universidad Diego Portales.|by-nc/4.0
Chile|Revista chilena de derecho||Rev. chil. derecho|rchilder|0718-3437||0718-3437|Pontificia Universidad Católica de Chile. Facultad de Derecho|by-nc/4.0
Chile|Revista chilena de enfermedades respiratorias||Rev. chil. enferm. respir.|rcher|0717-7348||0717-7348|Sociedad Chilena de Enfermedades Respiratorias|by-nc/4.0
Chile|Revista chilena de historia natural||Rev. chil. hist. nat.|rchnat|0716-078X|0716-078X||Sociedad de Biología de Chile|by/4.0
Chile|Revista chilena de infectología|Rev Chilena Infectol|Rev. chil. infectol.|rci|0716-1018|0716-1018||Sociedad Chilena de Infectología|by-nc/4.0
Chile|Revista chilena de literatura||Rev. chil. lit.|rchilite|0718-2295||0718-2295|Universidad de Chile<br>Facultad de Filosofía y Humanidades<br> Departamento de Literatura|by-nc/4.0
Chile|Revista chilena de neuro-psiquiatría||Rev. chil. neuro-psiquiatr.|rchnp|0717-9227||0717-9227|Sociedad de Neurología, Psiquiatría y Neurocirugía|by-nc/4.0
Chile|Revista chilena de nutrición||Rev. chil. nutr.|rchnut|0717-7518||0717-7518|Sociedad Chilena de Nutrición, Bromatología y Toxicología|by-nc/4.0
Chile|Revista chilena de obstetricia y ginecología||Rev. chil. obstet. ginecol.|rchog|0717-7526||0717-7526|Sociedad Chilena de Obstetricia y Ginecología|by/4.0
Chile|Revista chilena de pediatría|Rev Chil Pediatr|Rev. chil. pediatr.|rcp|0370-4106|0370-4106||Sociedad Chilena de Pediatría|by-nc/4.0
Chile|Revista chilena de radiología||Rev. chil. radiol.|rchradiol|0717-9308||0717-9308|Publimpacto|by-nc/4.0
Bolivia|Revista Ciencia y Cultura||Rev Cien Cult|rcc|2077-3323|2077-3323||Universidad Católica Boliviana|by-nc-sa/4.0
Colombia|Revista Ciencias de la Salud||Rev. Cienc. Salud|recis|1692-7273|1692-7273||Editorial Universidad del Rosario|by/4.0
Colombia|Revista Ciencias Estratégicas||rev.cienc.estrateg.|rces|1794-8347|1794-8347||Universidad Pontificia Bolivariana
Cuba|Revista Ciencias Técnicas Agropecuarias||Rev Cie Téc Agr|rcta|2071-0054||2071-0054|Universidad Agraria de La Habana|by-nc/4.0
Bolivia|Revista Científica Ciencia Médica||Rev Cient Cienc Méd|rccm|1817-7433|2077-3323|1817-7433|Facultad de Medicina, Universidad Mayor de San Simón.|by-nc-sa/4.0
Colombia|Revista Científica General José María Córdova||Rev. Cient. Gen. José María Córdova|recig|1900-6586|1900-6586||Escuela Militar de Cadetes "General José María Córdova"|by-nc/4.0
Venezuela|Revista Científica||Rev. cient. (Maracaibo)|rc|0798-2259|0798-2259||UNIVERSIDAD DEL ZULIA
Brazil|Revista Ciência Agronômica||Rev. Ciênc. Agron.|rca|1806-6690||1806-6690|Universidade Federal do Ceará|by/4.0
Spain|Revista Clínica de Medicina de Familia||Rev Clin Med Fam|albacete|1699-695X|1699-695X||Sociedad Castellano-Manchega de Medicina de Familia y Comunitaria
Chile|Revista clínica de periodoncia, implantología y rehabilitación oral||Rev. Clin. Periodoncia Implantol. Rehabil. Oral|piro|0719-0107||0719-0107|Sociedad de Periodoncia de Chile.|by-nc/4.0
Colombia|Revista Colombiana de Anestesiología||Rev. colomb. anestesiol.|rca|0120-3347|0120-3347||SCARE-Sociedad Colombiana de Anestesiología y Reanimación
Colombia|Revista Colombiana de Antropología||Rev. colomb. antropol.|rcan|0486-6525|0486-6525||Instituto Colombiano de Antropología e Historia - ICANH
Colombia|Revista Colombiana de Biotecnología||Rev. colomb. biotecnol|biote|0123-3475|0123-3475||Instituto de Biotecnología, Universidad Nacional de Colombia|by/4.0
Colombia|Revista Colombiana de Cancerología||rev.colomb.cancerol.|rcc|0123-9015|0123-9015||Instituto Nacional de Cancerología E.S.E.
Colombia|Revista Colombiana de Cardiología||Rev. Colomb. Cardiol.|rcca|0120-5633|0120-5633||Sociedad Colombiana de Cardiologia. Oficina de Publicaciones
Colombia|Revista Colombiana de Ciencias Hortícolas||rev.colomb.cienc.hortic.|rcch|2011-2173|2011-2173||Sociedad Colombiana de Ciencias Hotícolas, Universidad Pedagógica y Tecnológica de Colombia|by-nc/4.0
Colombia|Revista Colombiana de Ciencias Pecuarias||Rev Colom Cienc Pecua|rccp|0120-0690|0120-0690||Facultad de Ciencias Agrarias, Universidad de Antioquia
Colombia|Revista Colombiana de Ciencias Químico - Farmacéuticas||Rev. colomb. cienc. quim. farm.|rccqf|0034-7418|0034-7418||Departamento de Farmácia, Facultad de Ciencias, Universidade Nacional da Colombia|by/4.0
Colombia|Revista Colombiana de Cirugía||rev. colomb. cir.|rcci|2011-7582|2011-7582||Asociación Colombiana de Cirugía
Colombia|Revista Colombiana de Educación||Rev. colomb. educ.|rcde|0120-3916|0120-3916||Universidad Pedagógica Nacional de Colombia|by/4.0
Colombia|Revista Colombiana de Entomología||Rev. Colomb. Entomol.|rcen|0120-0488|0120-0488||Sociedad Colombiana de Entomología
Colombia|Revista Colombiana de Estadística||Rev.Colomb.Estad.|rce|0120-1751|0120-1751||Departamento de Estadística - Universidad Nacional de Colombia.
Colombia|Revista Colombiana de Gastroenterologia||Rev Col Gastroenterol|rcg|0120-9957|0120-9957||Asociación Colombiana de Gastroenterología
Colombia|Revista Colombiana de Matemáticas||Rev.colomb.mat.|rcm|0034-7426|0034-7426||Universidad Nacional de Colombia y Sociedad Colombiana de Matemáticas|by/4.0
Colombia|Revista Colombiana de Neumología||Rev. Col. Neumol.|rcneum|0121-5426|0121-5426||Sociedad Colombiana de Neumología, Tisiología y Enfermedades del Tórax
Colombia|Revista Colombiana de Obstetricia y Ginecología||Rev Colomb Obstet Ginecol|rcog|0034-7434|0034-7434||Federación Colombiana de Obstetricia y Ginecología
Colombia|Revista Colombiana de Psicología||Rev. colomb. psicol.|rcps|0121-5469|0121-5469||Universidad Nacional de Colombia, Facultad de Ciencias Humanas, Departamento de Psicología|by/4.0
